names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
CYB5R2,0.635602971,1.49E-16,1.07E-11,4.74E-21,2.68E-17,0.391732679,0.00080692
CYB5R3,5.83E-26,7.12E-34,1.04E-28,2.26E-22,0.213329167,0.774502772,0.26214337
CYB5R4,0.008935987,0.261404393,0.972015788,0.481626923,0.232298401,0.694301584,0.530911244
CYB5RL,0.177253268,1.57E-08,4.79E-14,2.47E-09,7.26E-05,0.42363052,0.176706664
CYBA,6.54E-14,0.012221578,0.001955784,0.0011123,6.63E-06,0.892544707,0.906273817
CYBB,0.941724811,0.039480177,0.003428874,0.000236295,0.06416964,0,0.510907372
CYBC1,6.68E-06,3.24E-08,7.06E-10,4.31E-09,0.464189626,0.879688125,0.84859962
CYBRD1,0.013155852,0.370406472,0.0001655,1.03E-06,0.001873956,0.088928201,0.293486039
CYC1,3.57E-56,3.22E-73,1.62E-70,1.17E-53,0.056705154,0.942646151,0.043725011
CYCS,2.95E-09,1.25E-10,3.73E-10,0.554032888,0.750308804,0.974398971,1.06E-07
CYFIP1,8.86E-06,1.97E-31,1.08E-36,1.10E-41,3.83E-13,0.757975999,0.445605812
CYFIP2,6.14E-13,4.98E-05,0.034414688,0.000464959,0.007287424,0.427464922,0.255108765
CYGB,0.084590518,0.030575311,0.062092629,0.599353325,0.764948812,0,0.254001263
CYHR1,0.131003859,4.08E-11,1.04E-08,5.21E-10,3.49E-06,0.805369036,0.726655914
CYLD,7.18E-33,2.78E-46,1.91E-42,2.27E-38,0.057352515,0.882520381,0.619362263
CYP1A1,3.62E-20,6.19E-10,2.62E-13,4.53E-22,1.38E-07,0.373264576,2.76E-05
CYP1A2,2.61E-05,0.025358305,0.025764778,0.000372166,0.04066564,0,0.172274194
CYP1B1,8.11E-19,3.27E-25,1.26E-20,3.29E-22,4.20E-05,0.075060901,0.332571341
CYP20A1,0.252074074,4.52E-06,4.81E-06,5.07E-16,0.002675133,0.997611268,0.001390808
CYP21A2,0.017289783,0.037255314,0.001694823,0.064588415,0,0,0
CYP24A1,0.212257266,0.323580915,0.182480992,0.177915256,0,0,0
CYP27B1,5.61E-38,2.13E-31,2.33E-29,1.44E-14,0.240128343,0.912387013,0.000102936
CYP2B7P,1.10E-08,3.79E-06,2.20E-05,0.511898662,0.256532619,0.922637681,2.47E-06
CYP2D6,5.39E-12,6.96E-23,1.05E-25,1.36E-24,0.008170544,0.867237065,0.826829474
CYP2E1,0.116188062,0.074451514,0.000215416,0.00802349,0.89181998,0,0.159856323
CYP2F1,3.02E-05,0.000186867,0.000208203,0.000488304,0.791628502,0,0.87198736
CYP2J2,0.200966615,0.228484116,0.000249173,0.014626723,0.02076983,0.224620433,0.300648942
